id,mass,height,waist,foot,sittingHeight,upperLegLength,kneeHeight,forearmLength,age,gender,handedness,birthOrder
1,15.5,103.3,47.5,16.3,582,306,,259,4.219,F,right,1
2,17.6,103.9,49.8,16.3,606,311,,274,4.326,M,right,1
3,23,111.2,52,17.1,594,387,,304,4.476,F,right,1
4,16.5,99.7,49.1,16.3,542,312,,281,3.841,F,both,1
5,15,99.7,46.5,16.7,524,321,,269,3.46,F,both,1
6,17.9,98.7,50.3,16.4,547,311,,260,3.723,M,right,3
7,13.4,94.1,45.9,15,502,283,,257,3.394,M,right,1
8,13.5,93.3,46.1,15,539,290,,254,3.608,F,right,1
9,19.4,116.4,50.7,17.5,655,353,,301,5.58,F,right,1
10,18.8,110,53.5,17.2,631,341,,285,5.23,F,right,2
11,16.5,109.4,52.1,17.7,592,347,,289,4.893,F,right,1
12,35.1,149.3,64.1,23.5,783,512,,391,13.561,F,right,1
13,49.9,157.8,66.4,25,838,518,488,425,13.736,F,right,2
14,55.8,161.8,72.3,24.3,826,568,511,449,13.953,F,right,1
15,68.5,157.7,87.6,23,830,555,502,429,13.397,F,right,4
16,40,146.8,65.2,23.2,766,509,452,400,13.345,F,right,2
17,48.4,156.3,69.5,24.1,818,513,490,437,12.539,F,right,2
18,47.3,156,,23.8,830,510,478,428,12.594,F,right,3
19,35.9,152.8,61.2,23.4,778,518,503,400,12.413,F,right,1
21,37.8,148.5,62.6,22.7,766,525,461,401,13.884,F,right,1
22,35,145.1,60.3,21.9,757,479,449,391,12.868,F,right,7
23,43.2,157.6,64.4,23.5,837,532,483,424,12.772,F,right,6
24,42.5,149.4,69.6,23.2,781,528,465,396,11.928,F,right,2
25,34.1,139.9,64.6,21.6,725,473,442,379,12.706,F,right,1
26,41.6,143.9,76.1,23.3,746,509,460,399,12.767,F,right,2
27,49.6,152,78.3,26,753,558,506,446,12.095,F,right,1
28,54.8,168.7,68.8,26.8,841,561,,456,14.471,M,right,1
29,60.6,174.2,74.2,,,,,492,13.55,M,right,1
30,36.8,154.1,58,24.7,793,517,,406,12.145,M,right,4
31,44,158.9,63.6,24.5,776,526,,432,12.199,M,right,1
32,41.5,155.8,63.5,25,790,515,,429,13.832,M,right,4
34,42.9,158.8,67.8,24.5,795,535,,423,12.312,M,right,4
35,40.5,155.6,59.8,24.8,815,514,,414,12.917,M,right,3
36,85.8,167.5,98.3,27.1,872,560,,465,13.364,M,right,2
37,43.6,153.3,67.1,23.7,793,488,,420,14.213,M,right,4
38,44.4,154.4,66.8,24.9,777,512,,428,13.452,M,both,1
39,53.6,159,69.4,25.4,862,520,,425,13.523,M,right,6
40,50.8,161.8,70.1,26.3,821,554,,457,13.915,M,left,2
41,51.7,165,68,26.1,850,557,,470,13.731,M,right,2
42,31.6,138.8,58.7,22.6,708,451,,379,14.309,M,right,3
43,66.4,162.2,86.7,25.6,832,542,,452,12.95,M,right,2
44,36.5,151.4,62.1,23,814,498,451,414,13.726,F,right,4
45,53.5,155.6,65.9,24.6,835,547,466,430,12.906,F,right,2
46,49.8,154.4,73.2,23.3,823,549,459,430,13.926,F,right,2
47,34.9,155,57.7,23.5,765,534,489,420,13.657,F,right,1
49,34,144.3,61.6,21.2,729,499,,391,12.619,M,right,1
50,77.3,175.8,84.8,25.9,876,615,,473,13.635,M,right,3
51,55.3,168.3,66.3,27.8,808,607,,482,13.953,M,right,3
52,62.6,171.2,73.2,27.2,869,571,,465,13.038,M,right,3
53,37.1,142.2,64.1,22.5,680,514,461,416,12.098,F,right,1
54,58.4,154.2,84.2,25,747,589,495,440,12.235,F,right,3
55,37.1,144.7,62.6,21.3,756,483,464,397,12.712,F,right,1
1001,33.4,144.2,60.6,23.1,747,469,466,396,10.134,M,right,3
1002,35.1,136.3,61.1,21.4,721,465,424,370,10.079,M,right,1
1003,19.6,114,51.2,17.8,633,357,344,300,5.976,M,both,1
1004,22.2,120.6,50.4,18.8,659,380,359,319,6.531,M,right,2
1005,41,147,64.1,24,760,505,461,394,11.723,M,right,4
1006,18.1,112.1,45.8,17.6,614,343,336,293,5.761,M,right,1
1007,15.8,106.1,44.5,16.9,604,319,332,277,5.024,M,right,1
1008,30.6,130.5,62.4,21.1,704,417,399,336,8.775,M,right,2
1009,32,136.7,57.6,21.6,736,434,440,366,9.109,M,right,1
1011,28.2,130.4,56.7,20.1,684,436,405,351,10.079,M,right,4
1012,23.7,120.8,51.9,18.8,652,391,370,316,7.32,M,right,1
1013,41.2,120.4,75.2,20.9,677,424,390,334,6.893,M,right,1
1015,30.9,138.3,59.3,20.5,721,464,428,352,11.197,F,right,1
1016,32.6,140.3,55.5,22.2,724,482,453,385,8.693,F,left,1
1017,32,131.9,59.4,19.9,725,423,402,336,8.197,F,right,5
1018,20.5,119.1,52.4,18.6,646,390,362,310,7.197,F,right,1
1019,23.5,125,55.3,19.7,666,404,390,337,7.676,F,right,3
1020,24.4,125.3,53.7,18.9,675,402,388,326,8.841,F,right,3
1021,26.7,133.2,54.2,20.8,701,437,411,351,8.482,F,right,3
1022,23.5,118.2,59.3,18.5,647,391,357,310,7.58,F,right,3
1023,28.3,128,59.3,19.5,705,439,400,335,7.361,F,right,4
1024,35.5,148,64.7,22.8,746,507,470,388,11.98,F,left,1
1025,17.6,108.7,52.2,17.3,587,356,320,287,5.073,F,right,3
1026,25,123.4,55.4,19.8,680,389,385,317,6.767,F,right,1
1027,26.6,126.7,58.2,20.4,671,425,395,347,6.802,F,right,1
1028,16.1,114.5,49,16.6,586,369,351,289,4.989,F,right,2
1029,19.6,111.5,50.5,17.9,597,357,,292,8.394,F,right,3
1030,22,126.4,52.2,18.8,691,399,395,323,8.808,F,right,3
1031,38,136.6,70.2,20.1,710,476,443,363,8.838,F,right,2
1032,21.1,123.9,51.6,19.3,674,379,376,330,8,F,right,3
1033,35.2,149.8,57.7,23,785,490,444,386,11.345,F,right,1
1034,25.6,127.2,56.3,20.4,667,416,398,344,9.723,F,right,1
1035,46.5,143.3,77.3,21.6,749,530,448,381,10.473,F,right,1
1036,52.6,150.8,76,24.1,796,545,487,402,11.498,F,right,7
1037,54.5,150.6,90.3,24.5,785,524,474,405,12.221,F,right,3
1038,30.6,140.1,55.6,21.8,735,455,432,384,10.712,M,right,3
1039,59.2,144.9,87.3,23.8,744,521,468,401,10.542,M,right,2
1040,31.1,138,55.2,21.9,,447,435,384,9.75,M,right,2
1041,30.4,136.5,55.6,23.2,717,432,435,360,10.073,M,right,1
1042,31.6,139.8,55,23.2,,466,432,389,10.715,M,right,4
1043,30.7,137.5,56.4,22.5,,450,421,371,12.975,M,right,3
1044,38.8,148,64.4,22.8,769,477,458,387,11.372,M,right,4
1045,40.6,149,64.6,25.3,731,522,487,418,12.172,M,right,4
1046,40.2,144.3,65.1,23.4,786,472,445,394,11.205,M,both,1
1047,41.5,154.6,63.2,25.7,,508,503,438,11.024,M,right,8
1048,39.2,148.7,62,25.2,752,503,476,407,11.731,M,right,4
1049,34.4,145.2,59.5,22.7,746,476,468,387,11.835,M,left,1
1050,35,153.2,59.4,22.5,,499,482,395,11.873,M,left,4
1051,26,133.5,52,21.3,712,421,403,351,9.695,F,right,1
1052,34.8,129.2,63.5,20.4,,472,404,368,9.027,F,right,1
1053,33.5,136.6,62,22,694,482,436,379,9.83,F,right,3
1054,42,150.3,61.5,23.3,768,534,480,444,10.087,F,right,1
1055,46,156.7,68.1,24.8,,534,522,435,10.657,F,left,7
1056,25.5,125.8,57.9,19.7,680,405,397,349,10.284,F,right,3
1057,36.2,147.7,61.6,23.5,744,513,469,407,10.383,F,right,1
1058,36,140.5,68.1,22.6,,492,438,370,11.282,F,right,1
1059,33.2,138,63.8,21.9,724,477,424,376,11.06,F,right,4
1060,35.3,142,62.5,22.2,758,460,445,381,11.857,F,right,5
1061,50,150.3,77.3,23.5,,534,498,403,11.52,F,right,1
1062,17,106,54.9,16.5,594,360,330,278,5.145,F,right,1
1063,33,147.3,56.9,23.7,724,501,462,410,15.605,M,left,3
1064,75.6,182.9,76.4,28.4,925,636,584,505,16.654,M,right,5
1065,80.1,182.4,80.3,27.4,957,601,558,478,17.402,M,right,2
1066,75.4,172.3,78.1,27.7,887,595,533,491,17.504,M,right,3
1067,78.7,180.3,84.6,27.4,933,608,558,474,17.92,M,left,1
1068,67.1,173.3,73.2,26.9,913,555,543,481,17.356,M,right,2
1070,80,186.6,80.5,30.5,909,643,602,516,18.6,M,left,2
1071,106.2,184.8,106.3,28.9,939,646,589,488,16.986,M,left,2
1072,73.1,180.9,73.9,28.4,902,621,572,514,17.347,M,right,4
1073,70.7,175.3,79,28.2,892,587,553,481,16.734,M,right,4
2001,46.6,154.3,71.1,22.7,812,517,481,428,18.539,F,right,1
2002,50.9,167.1,66,24.2,870,560,534,444,17.668,F,right,1
2003,61.3,170,67.7,26.9,866,595,533,467,16.254,F,right,1
2004,56.7,166.9,76.5,24.2,880,570,515,440,15.082,F,right,4
2005,65.4,172.2,73,27.1,909,624,562,496,15.071,F,right,6
2006,60.5,169.3,76.5,25.9,850,597,548,482,16.676,F,right,2
2007,49,162.1,70.9,23.5,870,557,501,436,16.517,F,right,1
2008,48.5,156,62.1,23.5,803,545,517,443,14.61,F,right,4
2009,51,158.2,71.9,22.3,840,527,491,417,14.356,F,right,1
2010,50.2,162.6,69.5,25.3,810,568,530,439,15.468,F,left,4
2011,52,154.1,72.1,22.2,832,518,476,399,15.526,F,right,3
2012,58.2,169.7,79.5,25,883,572,537,452,16.92,F,right,3
2013,41.1,154.9,67.4,23.1,830,501,498,454,17.463,F,right,3
2014,50.7,157.7,70.4,21.6,834,539,481,421,15.693,F,right,2
2015,45.2,156.2,66.5,23.6,822,521,465,417,16.158,F,left,2
2016,47.5,163.3,68.5,24,836,580,517,438,16.01,F,right,3
2017,49.5,154.3,68.3,23.5,843,529,478,424,18.06,F,right,2
2018,52,152.4,69.4,24.6,811,529,477,434,17.602,F,right,5
2019,47.7,153.2,69.7,24.3,789,533,473,430,15.761,F,right,5
2020,46.5,154.8,73.1,22.5,829,517,464,426,15.693,F,right,1
2021,52.9,157.7,68,22.9,864,530,475,409,17.257,F,left,2
2022,44.5,160,66.5,22.7,873,521,493,398,18.021,F,right,1
2023,46.4,156.8,71,22.4,837,525,462,412,16.202,F,right,3
2024,57.7,160.7,71.6,23.9,864,535,492,421,15.956,F,right,9
2025,58.3,170.1,74.6,26.7,834,604,556,481,14.843,F,right,2
2026,51,160.7,69.6,25.9,839,552,521,458,14.8,F,both,9
2027,58.1,161.6,72.4,22,855,550,488,410,17.254,F,right,1
2028,48.2,166.1,71,24.7,863,547,529,441,15.709,F,left,2
2029,74.8,162.7,105.4,23.5,863,566,495,425,16.024,F,right,2
2030,63.5,174.4,75.9,26.5,890,587,547,482,20.054,M,right,1
2031,62.8,169.6,85.9,26.8,851,624,558,474,14.917,M,left,2
2032,96.4,183.1,98.5,27.9,932,612,559,507,16.983,M,both,2
2033,39.2,155.8,58.9,25,813,501,490,419,14.832,M,right,5
2034,47.4,168.2,65.1,27.6,836,559,539,478,14.265,M,right,1
2035,53.5,181.4,65.8,27.2,929,579,566,490,15.205,M,right,5
2036,81,179.5,91.1,27.1,937,598,542,446,15.747,M,right,3
2037,51.7,164.5,67.1,26.4,789,573,536,479,15.002,M,right,1
2038,65.1,172.8,74,28.3,921,578,520,472,18.641,M,right,6
2039,58.1,172.3,67.7,26,856,590,532,475,16.18,M,right,4
2040,63.9,172,74.9,25.6,857,578,551,472,16.978,M,left,5
2041,79.5,175.5,75,27.9,884,601,547,499,16.473,M,right,1
